iteration,theta_1,loss_a,loss_b,loss,L2-error,objective,objective-error,constraint-error,runtime
9300,1000.0,1.5844774,1.1349298e-06,1.5850449,0.115062326,1.584482,0.00871253,0.0007222769,90.45723462104797
9400,1000.0,1.584397,1.1375614e-06,1.5849657,0.11438926,1.5844148,0.008669734,0.0005074328,91.3969657421112
9500,1000.0,1.5844586,1.2588038e-06,1.585088,0.11562433,1.584428,0.008678079,0.0010284918,92.32716345787048
9600,1000.0,1.5839864,1.1347001e-06,1.5845537,0.11541427,1.5839814,0.008393884,0.0012115731,93.2203803062439
9700,1000.0,1.5838418,2.2012975e-06,1.5849425,0.116102405,1.5840074,0.008410335,0.0016228928,94.14697647094727
9800,1000.0,1.5836195,1.1661677e-06,1.5842025,0.116072096,1.5836377,0.008175015,0.0010008264,95.04699110984802
9900,1000.0,1.5830591,1.40241555e-05,1.5900712,0.119351,1.5837537,0.008248925,0.0050463635,96.08715486526489
10000,1000.0,1.5833257,1.1276975e-06,1.5838896,0.11658651,1.5833206,0.007973194,0.0010990022,97.03672003746033
10100,1000.0,1.5832511,1.174756e-06,1.5838385,0.11627189,1.5832818,0.007948399,0.0017418833,97.98698019981384
10200,1000.0,1.5832744,1.1251888e-06,1.5838369,0.11768969,1.5832102,0.007902861,0.0019071827,99.00695395469666
10300,1000.0,1.5831833,1.1334314e-06,1.58375,0.11708513,1.5831937,0.00789237,0.0009856935,99.98713874816895
10400,1000.0,1.5828656,1.139011e-06,1.583435,0.11672911,1.5829037,0.0077078342,0.001373835,100.92699193954468
10500,1000.0,1.5828333,1.3570724e-06,1.5835118,0.11744811,1.5827428,0.0076053143,0.0014572979,101.83178186416626
10600,1000.0,1.5826752,1.1291966e-06,1.5832398,0.11764983,1.582702,0.0075793266,0.0015306101,102.80694890022278
10700,1000.0,1.5824614,1.6872222e-06,1.583305,0.11844453,1.5824943,0.0074471235,0.0017680426,103.7770299911499
10800,1000.0,1.582441,1.1320435e-06,1.583007,0.11872783,1.5824366,0.007410407,0.001277971,104.706960439682
10900,1000.0,1.5823817,2.0889931e-06,1.5834262,0.12087494,1.5823804,0.0073746443,0.0018693614,105.70718121528625
11000,1000.0,1.5820684,1.1249939e-06,1.582631,0.118944526,1.5820371,0.0071560144,0.0017889005,106.73705649375916
11100,1000.0,1.5817716,1.3101635e-06,1.5824267,0.11610269,1.5815985,0.0068768263,0.0050142696,107.75697660446167
11200,1000.0,1.5816976,1.1373521e-06,1.5822662,0.11995661,1.5816646,0.006918907,0.0012061455,108.72699642181396
11300,1000.0,1.5818158,1.1280582e-06,1.5823798,0.11991534,1.5817808,0.006992936,0.0016308995,109.7170741558075
11400,1000.0,1.581747,1.1194012e-06,1.5823067,0.12100825,1.5818387,0.007029772,0.0012573126,110.63713192939758
11500,1000.0,1.5816588,1.1227747e-06,1.5822202,0.12057662,1.5816689,0.006921649,0.0007389485,111.66496205329895
11600,1000.0,1.581379,1.3363514e-06,1.5820472,0.12347776,1.5817577,0.006978154,0.0026542915,112.69906067848206
11700,1000.0,1.5811981,1.1165256e-06,1.5817564,0.12142464,1.5811915,0.0066177845,0.0011816311,113.61112904548645
11800,1000.0,1.5808474,3.4035387e-05,1.5978651,0.12646328,1.5816115,0.006885171,0.006958551,114.58703875541687
11900,1000.0,1.5811255,1.1183383e-06,1.5816847,0.12233287,1.5811424,0.0065865517,0.0012237839,115.49693465232849
12000,1000.0,1.5816721,0.00012744138,1.6453928,0.1159863,1.5802512,0.0060191154,0.009005426,116.51694846153259
12100,1000.0,1.5808425,1.1166617e-06,1.5814009,0.12279834,1.5808434,0.0063961744,0.001412281,117.4569411277771
12200,1000.0,1.5813051,7.318833e-05,1.6178993,0.11959522,1.5805756,0.006225586,0.004633852,118.40700888633728
12300,1000.0,1.580826,1.1175985e-06,1.5813849,0.1232432,1.5807991,0.006367922,0.0016566811,119.38716316223145
12400,1000.0,1.5814472,0.00016928688,1.6660907,0.11368154,1.5797933,0.0057276487,0.013389735,120.31703090667725
12500,1000.0,1.5804211,1.1229223e-06,1.5809826,0.12404657,1.5804683,0.006157398,0.0009458453,121.2269835472107
12600,1000.0,1.5801402,1.9495599e-06,1.581115,0.12460577,1.5803326,0.0060709715,0.0017849036,122.12672567367554
12700,1000.0,1.5803196,1.1146535e-06,1.580877,0.12470061,1.5803068,0.0060545206,0.0014287699,123.0969557762146
12800,1000.0,1.580415,1.1242894e-06,1.5809772,0.124154314,1.5803751,0.006098032,0.0008898927,124.02693629264832
12900,1000.0,1.5801386,1.1644067e-06,1.5807208,0.12517677,1.580188,0.005978942,0.0008426882,124.99718952178955
13000,1000.0,1.5800399,1.1097371e-06,1.5805948,0.124659985,1.5800093,0.0058652163,0.0015958976,125.97694802284241
13100,1000.0,1.5798612,1.5846384e-06,1.5806534,0.12543847,1.5797662,0.0057103634,0.001243312,126.94716739654541
13200,1000.0,1.5796553,1.11785e-06,1.5802143,0.12566102,1.5796254,0.005620718,0.0014527016,127.89704990386963
13300,1000.0,1.5797225,2.5976913e-06,1.5810214,0.12608472,1.579506,0.0055447817,0.0016632448,129.0071403980255
13400,1000.0,1.5795474,1.1078952e-06,1.5801014,0.12664683,1.5795579,0.0055778027,0.0016475297,129.97697186470032
13500,1000.0,1.579386,1.3401433e-06,1.5800561,0.12689634,1.5794116,0.0054847,0.0012624651,130.87697887420654
13600,1000.0,1.579137,1.1079483e-06,1.5796909,0.1275074,1.5790943,0.0052826405,0.0015836983,131.9170262813568
13700,1000.0,1.5791405,1.1058484e-06,1.5796934,0.12737866,1.5791247,0.0053019524,0.0009825991,132.8871762752533
13800,1000.0,1.5793278,1.7069945e-06,1.5801814,0.12757221,1.5792534,0.0053839684,0.0015983711,133.8270537853241
13900,1000.0,1.5792215,1.1106581e-06,1.5797768,0.12820598,1.5791386,0.005310893,0.0011747534,134.8070993423462
14000,1000.0,1.5791557,1.1330802e-06,1.5797222,0.12831189,1.579194,0.00534606,0.0011096483,135.72696185112
14100,1000.0,1.5787711,1.1975849e-06,1.5793699,0.12929194,1.5788476,0.005125642,0.001316288,136.736971616745
14200,1000.0,1.5787616,1.3219121e-06,1.5794226,0.12937175,1.5787983,0.0050941706,0.001127725,137.69700860977173
14300,1000.0,1.5788625,1.1368649e-06,1.5794309,0.1298304,1.5788871,0.005150676,0.001370499,138.7169644832611
14400,1000.0,1.5788331,1.1062683e-06,1.5793862,0.12977,1.5788541,0.005129695,0.0011380553,139.62896847724915
14500,1000.0,1.5786469,1.376658e-06,1.5793352,0.13109884,1.5786582,0.005005002,0.00080689066,140.5511074066162
14600,1000.0,1.5786872,1.1114898e-06,1.579243,0.13094878,1.5786638,0.0050085783,0.0014574898,141.50150394439697
14700,1000.0,1.5783149,1.1418034e-06,1.5788858,0.13069558,1.5782461,0.0047426224,0.000986843,142.51702642440796
14800,1000.0,1.5783002,1.1658576e-06,1.5788832,0.13163124,1.5782773,0.0047625303,0.0007595417,143.47696447372437
14900,1000.0,1.5782866,1.1033409e-06,1.5788383,0.13139147,1.5782588,0.0047507286,0.00047526858,144.45698189735413
15000,1000.0,1.5782148,1.1624716e-06,1.578796,0.1321104,1.5782297,0.004732132,0.0012564688,145.45010948181152
15100,1000.0,1.5780802,1.1075917e-06,1.578634,0.13212688,1.5780383,0.0046104193,0.0007567881,146.40705823898315
15200,1000.0,1.5780345,1.3151387e-06,1.5786921,0.13320814,1.5780156,0.0045958757,0.00031534533,147.45697498321533
15300,1000.0,1.5776223,1.1103522e-06,1.5781775,0.13316296,1.5776657,0.004373193,0.001026653,148.42682814598083
15400,1000.0,1.5774945,1.1549115e-06,1.578072,0.13396476,1.5775278,0.0042853355,0.00073111703,149.42696404457092
15500,1000.0,1.5775441,1.1059045e-06,1.578097,0.13370843,1.5775702,0.004312396,0.00076897896,150.46699333190918
15600,1000.0,1.5774577,1.1095116e-06,1.5780125,0.13516057,1.5774301,0.0042232275,0.0011904977,151.43670773506165
15700,1000.0,1.5773375,1.0945691e-06,1.5778848,0.13491754,1.5773392,0.004165292,0.0010970732,152.45704054832458
15800,1000.0,1.577446,3.92877e-05,1.5970899,0.13356093,1.5772115,0.004083991,0.0025988081,153.45695734024048
15900,1000.0,1.5769626,1.0971318e-06,1.5775112,0.13560389,1.5769309,0.0039052963,0.0014259743,154.40197920799255
16000,1000.0,1.5768744,1.0942672e-06,1.5774215,0.13545994,1.5769001,0.003885746,0.001128664,155.3871624469757
16100,1000.0,1.5768335,1.1624878e-06,1.5774148,0.13616069,1.5768402,0.003847599,0.0014149857,156.35692262649536
16200,1000.0,1.5767454,1.1043294e-06,1.5772976,0.13636215,1.5767667,0.003800869,0.0011272128,157.35696983337402
16300,1000.0,1.5767006,1.2250289e-06,1.5773131,0.13697803,1.5766323,0.0037152767,0.0016825628,158.33700156211853
16400,1000.0,1.5764537,1.093873e-06,1.5770006,0.13729347,1.5764905,0.0036250353,0.0012279258,159.32676887512207
16500,1000.0,1.5764704,3.7296218e-06,1.5783352,0.1364744,1.5763221,0.003517747,0.0024181618,160.33704495429993
16600,1000.0,1.5765287,1.0986327e-06,1.577078,0.13787818,1.5765321,0.0036514997,0.001281503,161.3135483264923
16700,1000.0,1.5764105,1.2724545e-05,1.5827729,0.13961637,1.5763637,0.0035442114,0.0031903738,162.31708526611328
16800,1000.0,1.5762968,1.1008605e-06,1.5768472,0.13803422,1.5762918,0.0034985542,0.0013139232,163.39786052703857
16900,1000.0,1.5763907,9.938707e-06,1.5813601,0.1369044,1.5761805,0.0034276247,0.003295094,164.38012742996216
17000,1000.0,1.5763224,1.0904497e-06,1.5768677,0.13860811,1.5763156,0.0035136938,0.0009453059,165.39688277244568
17100,1000.0,1.5759786,1.4542274e-05,1.5832498,0.1415313,1.5760334,0.0033339262,0.004505507,166.3669490814209
17200,1000.0,1.5760412,1.0974173e-06,1.57659,0.13976982,1.576072,0.0033586025,0.00048072234,167.5096492767334
17300,1000.0,1.5758464,1.2009673e-06,1.5764469,0.13986233,1.5758241,0.0032007694,0.0016122633,168.49711751937866
17400,1000.0,1.5759331,1.0977882e-06,1.5764819,0.14040959,1.5759163,0.0032594204,0.0008470708,169.51919674873352
17500,1000.0,1.5758634,1.0866293e-06,1.5764067,0.14024067,1.5758634,0.0032258034,0.00083668774,170.52213668823242
17600,1000.0,1.5757327,1.272218e-06,1.5763688,0.14121284,1.5756369,0.0030815601,0.0015206329,171.55687427520752
17700,1000.0,1.5755845,1.0937712e-06,1.5761315,0.14147055,1.5755646,0.0030355453,0.0013228151,172.57704520225525
17800,1000.0,1.5754621,1.2932827e-06,1.5761087,0.14177006,1.5754976,0.0029928684,0.0014773414,173.54697489738464
17900,1000.0,1.5753713,1.0973276e-06,1.57592,0.14233121,1.57536,0.0029052496,0.00060040713,174.5270140171051
18000,1000.0,1.5754347,1.0871836e-06,1.5759783,0.14197351,1.5753962,0.0029283762,0.0017175708,175.58193826675415
18100,1000.0,1.5754176,1.0980622e-06,1.5759667,0.14280738,1.5753881,0.002923131,0.0014323113,176.52683639526367
18200,1000.0,1.5751536,1.0886016e-06,1.5756979,0.1424709,1.5751386,0.0027643442,0.0021548811,177.5187430381775
18300,1000.0,1.5751172,1.1510552e-06,1.5756928,0.1437356,1.5750451,0.0027048588,0.0021807733,178.50080847740173
18400,1000.0,1.5750817,1.0790304e-06,1.5756212,0.1434979,1.5751027,0.002741456,0.00082293426,179.4669692516327
18500,1000.0,1.5750155,1.9493148e-06,1.5759902,0.14367574,1.5750606,0.0027147532,0.0011167073,180.43695402145386
18600,1000.0,1.5749879,1.0848457e-06,1.5755303,0.14429154,1.5750134,0.0026845932,0.00073051837,181.45700025558472
18700,1000.0,1.5747074,1.3669186e-05,1.581542,0.14539479,1.5747426,0.0025122166,0.001346511,182.45676374435425
