iteration,beta,loss_a,loss_b,loss_m,loss,loss_mul,L2-error,objective,objective-error,constraint-error,runtime
7900,1000.0,1.596737,1.9550696e-06,0.0,1.5977145,0.8387817,0.08694975,1.5969447,0.016646504,0.0008387817,42.19624924659729
8000,1000.0,1.596404,6.0180315e-07,0.0,1.5967048,1.132392,0.08699488,1.5960282,0.016063094,0.0011323921,42.705904483795166
8100,1000.0,1.596323,1.1120634e-06,0.0,1.596879,1.4579076,0.08816993,1.5968807,0.016605735,0.0014579076,43.209245443344116
8200,1000.0,1.5963027,3.9054985e-06,0.0,1.5982555,1.9293354,0.0862931,1.5959156,0.01599133,0.0019293354,43.695868492126465
8300,1000.0,1.5965325,1.3316126e-06,0.0,1.5971982,0.3188834,0.08662744,1.597127,0.016762614,0.0003188834,44.14931797981262
8400,1000.0,1.5960214,7.0820643e-06,0.0,1.5995624,1.4540102,0.08678573,1.5960706,0.016090155,0.0014540103,44.62607669830322
8500,1000.0,1.5954789,1.8652008e-06,0.0,1.5964115,1.4148291,0.08626018,1.5950574,0.015444994,0.0014148292,45.12621521949768
8600,1000.0,1.595976,8.2658335e-07,0.0,1.5963893,2.1747959,0.08540121,1.595913,0.01598978,0.0021747958,45.625890254974365
8700,1000.0,1.594564,3.5097491e-06,0.0,1.5963188,1.4099742,0.086127535,1.5947025,0.015219092,0.0014099742,46.1361141204834
8800,1000.0,1.5944093,2.8315312e-06,0.0,1.5958251,1.5344559,0.08543865,1.5946335,0.015175104,0.0015344558,46.644169330596924
8900,1000.0,1.5952772,2.273231e-06,0.0,1.5964139,1.429893,0.087900914,1.5960945,0.016105294,0.0014298931,47.15611290931702
9000,1000.0,1.5944179,2.962314e-06,0.0,1.5958991,1.660685,0.088237494,1.5949035,0.015347004,0.0016606848,47.69618511199951
9100,1000.0,1.5938902,1.7751431e-06,0.0,1.5947777,1.245488,0.08638397,1.5938247,0.014660358,0.0012454881,48.17619442939758
9200,1000.0,1.5939102,1.6057979e-06,0.0,1.5947131,1.6201636,0.08647206,1.5936271,0.014534473,0.0016201636,48.796220779418945
9300,1000.0,1.5936084,4.785404e-06,0.0,1.596001,0.39820728,0.08687085,1.595124,0.0154874325,0.00039820728,49.306251525878906
9400,1000.0,1.5939944,4.0564823e-06,0.0,1.5960226,1.7146796,0.08829472,1.5943822,0.015015125,0.0017146796,49.78629207611084
9500,1000.0,1.5943922,5.5414716e-07,0.0,1.5946692,2.5533297,0.08653739,1.5928917,0.014066339,0.0025533298,50.326252460479736
9600,1000.0,1.5936881,4.5120023e-06,0.0,1.5959442,4.2865863,0.09097596,1.5936974,0.014579296,0.0042865863,50.91160202026367
9700,1000.0,1.5942253,1.2493374e-06,0.0,1.59485,0.92902833,0.08761798,1.5932943,0.0143226385,0.0009290283,51.533097982406616
9800,1000.0,1.5936887,1.8440192e-06,0.0,1.5946107,1.8863117,0.08689489,1.5934232,0.014404774,0.0018863117,52.29611372947693
9900,1000.0,1.5930195,4.4675076e-06,0.0,1.5952532,1.047827,0.08813558,1.5927899,0.014001489,0.001047827,53.02790451049805
10000,1000.0,1.5916721,2.2580147e-05,0.0,1.6029621,2.3442988,0.086435445,1.5930216,0.01414907,0.0023442989,53.78103446960449
10100,1000.0,1.5924723,3.2167293e-06,0.0,1.5940807,2.456686,0.086677924,1.5925133,0.013825417,0.002456686,54.4460711479187
10200,1000.0,1.5931695,1.2125217e-06,0.0,1.5937757,3.2383292,0.09119753,1.5931234,0.0142138,0.0032383292,55.13605856895447
10300,1000.0,1.5928075,1.2287361e-05,0.0,1.5989512,5.595998,0.093344115,1.5924871,0.013808727,0.0055959974,55.8362774848938
10400,1000.0,1.592603,3.9306565e-06,0.0,1.5945683,0.7058851,0.08921004,1.5932639,0.014303207,0.00070588506,56.546239614486694
10500,1000.0,1.591719,3.304793e-05,0.0,1.608243,2.6414957,0.0909614,1.591743,0.01333499,0.0026414956,57.265923500061035
10600,1000.0,1.5911843,2.4060166e-05,0.0,1.6032144,1.7692784,0.09042733,1.5921025,0.013563871,0.0017692785,57.94607710838318
10700,1000.0,1.5907449,5.0587505e-06,0.0,1.5932742,1.9680332,0.089853525,1.5908772,0.012783885,0.001968033,58.68627977371216
10800,1000.0,1.5917225,2.4059495e-05,0.0,1.6037523,1.860645,0.090740085,1.591445,0.013145328,0.001860645,59.37615895271301
10900,1000.0,1.5924597,3.0460455e-06,0.0,1.5939827,1.2656882,0.08934111,1.5918826,0.01342392,0.0012656882,60.06612038612366
