iteration,beta,loss_a,loss_b,loss,L2-error,objective,objective-error,constraint-error,runtime
8500,10001,1.4777077,3.58E-06,1.4956247,0.06849007,14.77716,0.024512649,0.001308392,26.23987651
8600,10001,1.4776051,3.28E-06,1.4940151,0.06757703,14.774315,0.024315357,0.001522843,26.52654314
8700,10001,1.4759569,3.95E-05,1.6732668,0.07401879,14.793239,0.025627375,0.006893882,26.83178616
8800,10001,1.4774417,3.09E-06,1.4928741,0.06738972,14.773558,0.024262905,0.001180394,27.13015747
8900,10001,1.4770759,3.33E-06,1.4937375,0.06633226,14.769642,0.023991466,0.001489874,27.45819283
9000,10001,1.4762903,6.36E-06,1.5081012,0.06734478,14.772226,0.024170637,0.002148231,27.7599318
9100,10001,1.4764589,7.76E-06,1.5152622,0.0649395,14.763916,0.023594499,0.002730069,28.0899961
9200,10001,1.4756075,1.60E-05,1.5555513,0.067069024,14.770616,0.024058938,0.002767911,28.37703896
9300,10001,1.4765753,6.94E-06,1.5112802,0.072861746,14.787374,0.025220752,0.010474378,28.69987392
9400,10001,1.4762167,3.22E-06,1.492318,0.064107955,14.76071,0.023372173,0.00128324,28.96992469
9500,10001,1.47603,2.91E-06,1.4905798,0.063197784,14.7572975,0.023135543,0.001343362,29.29497147
9600,10001,1.4755155,3.31E-06,1.4920532,0.06359194,14.758513,0.023219824,0.001302773,29.57200646
9700,10001,1.4761018,1.22E-05,1.5372925,0.061258633,14.750588,0.022670388,0.002545948,29.8499856
9800,10001,1.4754251,2.63E-06,1.4885939,0.06223413,14.753539,0.022874951,0.001214651,30.15903497
9900,10001,1.4751135,2.56E-06,1.4879396,0.062426407,14.753717,0.02288735,0.001498077,30.43499422
10000,10001,1.4756063,5.32E-06,1.5022038,0.060357884,14.747038,0.022424221,0.00201114,30.74995494
10100,10001,1.474866,2.81E-06,1.4889194,0.06124289,14.749392,0.022587419,0.001320954,31.02987647
10200,10001,1.4745206,2.99E-06,1.4894623,0.061008766,14.748526,0.022527456,0.00139836,31.33991957
10300,10001,1.4742658,3.43E-06,1.4914052,0.060767125,14.747477,0.022454739,0.001524223,31.62150335
10400,10001,1.4743451,3.36E-06,1.4911531,0.058578636,14.739479,0.021900177,0.001393752,31.89392686
10500,10001,1.4737228,4.16E-06,1.4945159,0.059555877,14.742359,0.022099853,0.001796426,32.21191001
10600,10001,1.4751742,3.91E-05,1.6708622,0.05342331,14.721308,0.020640373,0.006252607,32.50012159
10700,10001,1.4738683,3.28E-06,1.4902774,0.05731945,14.734262,0.021538496,0.001293992,32.81993508
10800,10001,1.4733105,3.20E-06,1.4892927,0.058377113,14.737767,0.021781564,0.00195538,33.10261893
